block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
2,egg_roll,target,regular,pre,2cuds3rf2ks8pss,binoculars,0.771643843030376,0.0
2,steak,target,horizontal_flip,pre,2cuds3rf2ks8pss,frog,0.6697288866405172,0.0
2,axe,target,upside_down,pre,2cuds3rf2ks8pss,rock,0.7352108963409915,0.0
2,pedal,target,regular,post,2cuds3rf2ks8pss,camera1,0.7711689860989747,0.0
3,axe,target,upside_down,post,2cuds3rf2ks8pss,rock,0.7352108963409915,0.0
3,lip_gloss,target,upside_down,pre,2cuds3rf2ks8pss,bullet,0.8988487572891738,0.0
3,steak,target,horizontal_flip,post,2cuds3rf2ks8pss,frog,0.6697288866405172,0.0
3,egg_roll,target,regular,post,2cuds3rf2ks8pss,spring_roll,0.0,0.0
3,shears,target,horizontal_flip,pre,2cuds3rf2ks8pss,palm_tree,0.5994503708089445,0.0
3,parking_meter,target,regular,pre,2cuds3rf2ks8pss,,,0.0
4,hot-water_bottle,target,regular,pre,2cuds3rf2ks8pss,elephant,0.7575406245682539,0.0
4,parking_meter,target,regular,post,2cuds3rf2ks8pss,phone_booth,0.5459345682803365,0.0
4,shears,target,horizontal_flip,post,2cuds3rf2ks8pss,rocket,0.7381225190472228,0.0
4,gargoyle,target,upside_down,pre,2cuds3rf2ks8pss,chicken2,0.7061499009046641,0.0
4,snail,target,horizontal_flip,pre,2cuds3rf2ks8pss,bird,0.4622552012906228,0.0
4,lip_gloss,target,upside_down,post,2cuds3rf2ks8pss,bullet,0.8988487572891738,0.0
5,gargoyle,target,upside_down,post,2cuds3rf2ks8pss,horse,0.4254749505820893,0.0
5,hot-water_bottle,target,regular,post,2cuds3rf2ks8pss,hot-water_bottle,0.0,1.0
5,snail,target,horizontal_flip,post,2cuds3rf2ks8pss,snail,0.0,1.0
0,gargoyle,target,upside_down,pre,863p97db18nk6uj,face,0.4905024166201391,0.0
0,buoy,target,horizontal_flip,pre,863p97db18nk6uj,fish,0.5911113019658004,0.0
0,banana_peel,target,regular,pre,863p97db18nk6uj,water_ice,0.6873063370243875,0.0
1,banana_peel,target,regular,post,863p97db18nk6uj,water_ice,0.6873063370243875,0.0
1,gargoyle,target,upside_down,post,863p97db18nk6uj,map,0.8371577590372781,0.0
1,buoy,target,horizontal_flip,post,863p97db18nk6uj,buoy,0.0,1.0
1,rattlesnake,target,horizontal_flip,pre,863p97db18nk6uj,map,0.8377429967319256,0.0
1,sidecar,target,regular,pre,863p97db18nk6uj,shrimp,0.7776023916415652,0.0
1,mannequin,target,upside_down,pre,863p97db18nk6uj,painting,0.6233362933309614,0.0
2,figurine,target,horizontal_flip,pre,863p97db18nk6uj,map,0.750905441199479,0.0
2,sidecar,target,regular,post,863p97db18nk6uj,shrimp,0.7776023916415652,0.0
2,snail,target,upside_down,pre,863p97db18nk6uj,dog,0.5420133670045401,0.0
2,parking_meter,target,regular,pre,863p97db18nk6uj,postage,0.8168722243478928,0.0
2,rattlesnake,target,horizontal_flip,post,863p97db18nk6uj,worm,0.4452430222264145,0.0
2,mannequin,target,upside_down,post,863p97db18nk6uj,map,0.7849819415802002,0.0
3,snail,target,upside_down,post,863p97db18nk6uj,shrimp,0.5285852656448394,0.0
3,puddle,target,regular,pre,863p97db18nk6uj,map,0.8496184626577108,0.0
3,parking_meter,target,regular,post,863p97db18nk6uj,post,0.7967529543604182,0.0
3,axe,target,horizontal_flip,pre,863p97db18nk6uj,map,0.8815422563355445,0.0
3,eclair,target,upside_down,pre,863p97db18nk6uj,snail,0.6023656499227215,0.0
