index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
181,,,,,,html-keyboard-response,187,430827,0.0-11.0-5.38-1.38,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,428.19999998807907,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,39,1,dot,pomegranate,pomegranate_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
185,,,,,,html-keyboard-response,191,432485,0.0-11.0-5.39-1.39,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,646.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,40,1,dot,magnifier,magnifier_mooney_dot_on7,target,upside_down,post,on,Exp,dot_recog,i,0,0,,,,
189,,,,,,html-keyboard-response,195,433960,0.0-11.0-5.40-1.40,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,462.60000002384186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,41,1,dot,polar_bear,polar_bear_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
193,,,,,,html-keyboard-response,199,435337,0.0-11.0-5.41-1.41,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,363.7999999523163,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,42,1,dot,eclair,eclair_mooney_dot_off6,target,horizontal_flip,post,off,Exp,dot_recog,i,0,1,,,,
200,,,,,,survey-text-autocomplete,207,445784,0.0-11.0-6.42-4.42,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""blackboard""}",,,,,,,,,,,,,,,43,1,recognition,pomegranate,pomegranate_mooney,target,upside_down,pre,null,Exp,Recognition,,,,,blackboard,0.7742913872494803,0.0
206,,,,,,survey-text-autocomplete,214,459108,0.0-11.0-6.43-4.43,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""wall""}",,,,,,,,,,,,,,,44,1,recognition,egg_roll,egg_roll_mooney,target,regular,pre,null,Exp,Recognition,,,,,wall,0.7825203945632772,0.0
212,,,,,,survey-text-autocomplete,221,465537,0.0-11.0-6.44-4.44,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""pen""}",,,,,,,,,,,,,,,45,1,recognition,lip_gloss,lip_gloss_mooney,target,regular,post,null,Exp,Recognition,,,,,pen,0.808221582889206,0.0
218,,,,,,survey-text-autocomplete,228,473424,0.0-11.0-6.45-4.45,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""wall""}",,,,,,,,,,,,,,,46,1,recognition,eclair,eclair_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,,wall,0.8044781328157019,0.0
224,,,,,,survey-text-autocomplete,235,482667,0.0-11.0-6.46-4.46,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""cooker""}",,,,,,,,,,,,,,,47,1,recognition,magnifier,magnifier_mooney,target,upside_down,post,null,Exp,Recognition,,,,,cooker,0.7006214931588359,0.0
230,,,,,,survey-text-autocomplete,242,489037,0.0-11.0-6.47-4.47,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""map""}",,,,,,,,,,,,,,,48,1,recognition,polar_bear,polar_bear_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,,map,0.7591411689355078,0.0
