index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
640,,,,,,html-keyboard-response,673,1058856,0.0-11.0-5.137-1.137,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,941.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,138,4,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
644,,,,,,html-keyboard-response,677,1060496,0.0-11.0-5.138-1.138,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,592.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,139,4,dot,scarf,scarf_mooney_dot_on5,target,upside_down,post,on,Exp,dot_recog,e,1,1,,,,
648,,,,,,html-keyboard-response,681,1064132,0.0-11.0-5.139-1.139,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,2587.1999999284744,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,140,4,dot,figurine,figurine_mooney_dot_off6,target,horizontal_flip,post,off,Exp,dot_recog,e,1,0,,,,
652,,,,,,html-keyboard-response,685,1066342,0.0-11.0-5.140-1.140,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,1161.0999999046326,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,141,4,dot,snail,snail_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,,
659,,,,,,survey-text-autocomplete,693,1076196,0.0-11.0-6.141-4.141,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,,"{""recognition"":""rock""}",,,,,,,,,,,,,,,142,4,recognition,banana_peel,banana_peel_mooney,target,regular,pre,null,Exp,Recognition,,,,,rock,0.671619120528347,0.0
665,,,,,,survey-text-autocomplete,700,1082604,0.0-11.0-6.142-4.142,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,,"{""recognition"":""bullet""}",,,,,,,,,,,,,,,143,4,recognition,lip_gloss,lip_gloss_mooney,target,upside_down,pre,null,Exp,Recognition,,,,,bullet,0.8988487572891738,0.0
671,,,,,,survey-text-autocomplete,707,1089968,0.0-11.0-6.143-4.143,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,,"{""recognition"":""human face""}",,,,,,,,,,,,,,,144,4,recognition,figurine,figurine_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,,human_face,0.6841199264816813,0.0
677,,,,,,survey-text-autocomplete,714,1110656,0.0-11.0-6.144-4.144,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,,"{""recognition"":""water ice""}",,,,,,,,,,,,,,,145,4,recognition,buoy,buoy_mooney,target,regular,post,null,Exp,Recognition,,,,,water_ice,0.7099281025502804,0.0
683,,,,,,survey-text-autocomplete,721,1117341,0.0-11.0-6.145-4.145,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,,"{""recognition"":""human face""}",,,,,,,,,,,,,,,146,4,recognition,snail,snail_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,,human_face,0.7931851138155332,0.0
689,,,,,,survey-text-autocomplete,728,1139260,0.0-11.0-6.146-4.146,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,,"""timeout""",,,,,,,,,,,,,,,147,4,recognition,scarf,scarf_mooney,target,upside_down,post,null,Exp,Recognition,,,,,,,0.0
