index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
173,,,,,,html-keyboard-response,179,325260,0.0-11.0-5.36-1.36,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,245.10000000149012,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,37,1,dot,parking_meter,parking_meter_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
177,,,,,,html-keyboard-response,183,326484,0.0-11.0-5.37-1.37,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,206.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,38,1,dot,gutter,gutter_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,,
181,,,,,,html-keyboard-response,187,328052,0.0-11.0-5.38-1.38,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,550.7000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,39,1,dot,parking_meter,parking_meter_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,,
185,,,,,,html-keyboard-response,191,329135,0.0-11.0-5.39-1.39,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,66.89999999850988,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,40,1,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,,
189,,,,,,html-keyboard-response,195,330534,0.0-11.0-5.40-1.40,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,381.59999999403954,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,41,1,dot,parking_meter,parking_meter_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,,
193,,,,,,html-keyboard-response,199,336556,0.0-11.0-5.41-1.41,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,42,1,dot,gutter,gutter_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,,0,0,,,,
200,,,,,,survey-text-autocomplete,207,344006,0.0-11.0-6.42-4.42,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""cat""}",,,,,,,,,,,,,,,43,1,recognition,snail,snail_mooney,target,regular,post,null,Exp,Recognition,,,,,cat,0.48646832990278777,0.0
206,,,,,,survey-text-autocomplete,214,352526,0.0-11.0-6.43-4.43,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""underground""}",,,,,,,,,,,,,,,44,1,recognition,gutter,gutter_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,,underground,0.7166470922096356,0.0
212,,,,,,survey-text-autocomplete,221,358414,0.0-11.0-6.44-4.44,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""tower""}",,,,,,,,,,,,,,,45,1,recognition,parking_meter,parking_meter_mooney,target,upside_down,pre,null,Exp,Recognition,,,,,tower,0.7057684162306822,0.0
218,,,,,,survey-text-autocomplete,228,365333,0.0-11.0-6.45-4.45,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""plate""}",,,,,,,,,,,,,,,46,1,recognition,peanut_butter,peanut_butter_mooney,target,upside_down,post,null,Exp,Recognition,,,,,plate,0.7000638054793139,0.0
224,,,,,,survey-text-autocomplete,235,373621,0.0-11.0-6.46-4.46,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""nose""}",,,,,,,,,,,,,,,47,1,recognition,egg_roll,egg_roll_mooney,target,regular,pre,null,Exp,Recognition,,,,,nose,0.718777485084299,0.0
230,,,,,,survey-text-autocomplete,242,379773,0.0-11.0-6.47-4.47,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""dolphin""}",,,,,,,,,,,,,,,48,1,recognition,banana_peel,banana_peel_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,,dolphin,0.8013227632432647,0.0
236,,,,,,survey-text-autocomplete,249,385597,0.0-11.0-6.48-4.48,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""spring roll""}",,,,,,,,,,,,,,,49,1,recognition,egg_roll,egg_roll,target,regular,color,null,Exp,Recognition,,,,,spring_roll,0.0,0.0
242,,,,,,survey-text-autocomplete,256,392397,0.0-11.0-6.49-4.49,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""bird""}",,,,,,,,,,,,,,,50,1,recognition,gutter,gutter,target,horizontal_flip,color,null,Exp,Recognition,,,,,bird,0.7906203634968662,0.0
248,,,,,,survey-text-autocomplete,263,403068,0.0-11.0-6.50-4.50,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,,"{""recognition"":""parking meter""}",,,,,,,,,,,,,,,51,1,recognition,parking_meter,parking_meter,target,upside_down,color,null,Exp,Recognition,,,,,parking_meter,0.0,1.0
254,,,,,,html-keyboard-response,269,425205,0.0-11.0-5.51-1.51,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,52,2,dot,egg_roll,egg_roll_mooney_dot_off8,target,regular,post,off,Exp,dot_recog,,0,1,,,,
