index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
224,,,,,,survey-text-autocomplete,235,634417,0.0-11.0-6.46-4.46,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,,"{""recognition"":""feather""}",,,,,,,,,,,,,,,47,1,recognition,dumbbell,dumbbell_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,,feather,0.7197491350909917,0.0
230,,,,,,survey-text-autocomplete,242,641646,0.0-11.0-6.47-4.47,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,,"{""recognition"":""house trailer""}",,,,,,,,,,,,,,,48,1,recognition,scarf,scarf_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,,house_trailer,0.7910377335533458,0.0
236,,,,,,survey-text-autocomplete,249,663496,0.0-11.0-6.48-4.48,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,,"""timeout""",,,,,,,,,,,,,,,49,1,recognition,pedal,pedal,target,upside_down,color,null,Exp,Recognition,,,,,,,0.0
242,,,,,,survey-text-autocomplete,256,682284,0.0-11.0-6.49-4.49,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,,"{""recognition"":""gun""}",,,,,,,,,,,,,,,50,1,recognition,dumbbell,dumbbell,target,horizontal_flip,color,null,Exp,Recognition,,,,,gun,0.684211059923999,0.0
248,,,,,,survey-text-autocomplete,263,691306,0.0-11.0-6.50-4.50,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,,"{""recognition"":""feather""}",,,,,,,,,,,,,,,51,1,recognition,grasshopper,grasshopper,target,regular,color,null,Exp,Recognition,,,,,feather,0.5678371663508719,0.0
254,,,,,,html-keyboard-response,269,708347,0.0-11.0-5.51-1.51,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,1194.1999999955297,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,52,2,dot,polar_bear,polar_bear_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,,
258,,,,,,html-keyboard-response,273,709928,0.0-11.0-5.52-1.52,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,562.7000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,53,2,dot,pedal,pedal_mooney_dot_off8,target,upside_down,post,off,Exp,dot_recog,e,0,1,,,,
262,,,,,,html-keyboard-response,277,711956,0.0-11.0-5.53-1.53,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,1008.2000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,54,2,dot,dumbbell,dumbbell_mooney_dot_on5,target,horizontal_flip,post,on,Exp,dot_recog,e,0,0,,,,
266,,,,,,html-keyboard-response,281,715870,0.0-11.0-5.54-1.54,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,2892.2999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,55,2,dot,backpack,backpack_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,,
270,,,,,,html-keyboard-response,285,718740,0.0-11.0-5.55-1.55,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,1839.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,56,2,dot,grasshopper,grasshopper_mooney_dot_off8,target,regular,post,off,Exp,dot_recog,i,1,0,,,,
