index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
66,,,,,,html-keyboard-response,66,431466,0.0-11.0-5.13-1.13,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1082.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,buoy,buoy_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
70,,,,,,html-keyboard-response,70,434285,0.0-11.0-5.14-1.14,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1798.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,aloe,aloe_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
74,,,,,,html-keyboard-response,74,436334,0.0-11.0-5.15-1.15,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1034.3999999761581,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,16,0,dot,buoy,buoy_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
82,,,,,,survey-text-autocomplete,82,454813,0.0-11.0-6.16-4.16,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""headgear""}",,,,,17,0,recognition,steak,steak_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,headgear,0.7917856346504479,0.0
89,,,,,,survey-text-autocomplete,89,476867,0.0-11.0-6.17-4.17,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"""timeout""",,,,,18,0,recognition,gutter,gutter_mooney,catch,regular,pre,null,Exp,Recognition,,,,,,0.0
96,,,,,,survey-text-autocomplete,96,497844,0.0-11.0-6.18-4.18,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""shades""}",,,,,19,0,recognition,buoy,buoy_mooney,target,upside_down,pre,null,Exp,Recognition,,,,shades,0.7908042437813219,0.0
103,,,,,,survey-text-autocomplete,103,506290,0.0-11.0-6.19-4.19,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""wheel""}",,,,,20,0,recognition,aloe,aloe_mooney,target,regular,pre,null,Exp,Recognition,,,,wheel,0.8953887640166388,0.0
110,,,,,,survey-text-autocomplete,110,513483,0.0-11.0-6.20-4.20,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""float""}",,,,,21,0,recognition,buoy,buoy,target,upside_down,color,null,Exp,Recognition,,,,float,0.4840841974432659,0.0
117,,,,,,survey-text-autocomplete,117,519979,0.0-11.0-6.21-4.21,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""meat""}",,,,,22,0,recognition,steak,steak,target,horizontal_flip,color,null,Exp,Recognition,,,,meat,0.29069736864824214,0.0
124,,,,,,survey-text-autocomplete,124,526738,0.0-11.0-6.22-4.22,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""cactus""}",,,,,23,0,recognition,aloe,aloe,target,regular,color,null,Exp,Recognition,,,,cactus,0.27202088731700447,0.0
130,,,,,,html-keyboard-response,130,539870,0.0-11.0-5.23-1.23,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,4514.899999976158,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,24,1,dot,steak,steak_mooney_dot_off6,target,horizontal_flip,post,off,Exp,dot_recog,e,0,1,,,
134,,,,,,html-keyboard-response,134,542454,0.0-11.0-5.24-1.24,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1557.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,25,1,dot,gutter,gutter_mooney_dot_on7,catch,regular,post,on,Exp,dot_recog,e,0,0,,,
138,,,,,,html-keyboard-response,138,544715,0.0-11.0-5.25-1.25,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1236.1999999284744,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,26,1,dot,magnifier,magnifier_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
142,,,,,,html-keyboard-response,142,547875,0.0-11.0-5.26-1.26,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,2137.6999999284744,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,27,1,dot,gutter,gutter_mooney_dot_off8,catch,regular,post,off,Exp,dot_recog,i,1,0,,,
146,,,,,,html-keyboard-response,146,550107,0.0-11.0-5.27-1.27,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1217.3999999761581,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,28,1,dot,magnifier,magnifier_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
150,,,,,,html-keyboard-response,150,552923,0.0-11.0-5.28-1.28,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1788.6000000238419,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,29,1,dot,sandal,sandal_mooney_dot_off2,catch,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
154,,,,,,html-keyboard-response,154,558004,0.0-11.0-5.29-1.29,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,4066.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,30,1,dot,backpack,backpack_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
158,,,,,,html-keyboard-response,158,561494,0.0-11.0-5.30-1.30,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,2462,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,31,1,dot,buoy,buoy_mooney_dot_off8,target,upside_down,post,off,Exp,dot_recog,i,1,0,,,
162,,,,,,html-keyboard-response,162,566149,0.0-11.0-5.31-1.31,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,3636.6999999284744,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,32,1,dot,aloe,aloe_mooney_dot_on7,target,regular,post,on,Exp,dot_recog,i,1,1,,,
