index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
56,,,,,,html-keyboard-response,56,304949,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,2020.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,drill,drill_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
60,,,,,,html-keyboard-response,60,306345,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,381.6000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
64,,,,,,html-keyboard-response,64,308308,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,946.1000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,scarf,scarf_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
68,,,,,,html-keyboard-response,68,310147,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,826.7000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,axe,axe_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
72,,,,,,html-keyboard-response,72,312162,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,991.6000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,scarf,scarf_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
76,,,,,,html-keyboard-response,76,313748,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,570.2000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,drill,drill_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
84,,,,,,survey-text-autocomplete,84,325298,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""griddlecake""}",,,,,,,,,,,,,,,17,0,recognition,candelabra,candelabra_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,griddlecake,0.7052334808794979,0.0
91,,,,,,survey-text-autocomplete,91,331312,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""car""}",,,,,,,,,,,,,,,18,0,recognition,drill,drill_mooney,target,regular,pre,null,Exp,Recognition,,,,car,0.8284073295897443,0.0
98,,,,,,survey-text-autocomplete,98,337725,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""wall""}",,,,,,,,,,,,,,,19,0,recognition,scarf,scarf_mooney,catch,regular,pre,null,Exp,Recognition,,,,wall,0.7703733896221308,0.0
105,,,,,,survey-text-autocomplete,105,343885,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""river horse""}",,,,,,,,,,,,,,,20,0,recognition,axe,axe_mooney,target,upside_down,pre,null,Exp,Recognition,,,,river_horse,0.7806489998212529,0.0
