index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
54,,,,,,html-keyboard-response,54,266093,0.0-11.0-5.10-1.10,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,2219.7999999523163,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,eclair,eclair_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
58,,,,,,html-keyboard-response,58,269163,0.0-11.0-5.11-1.11,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,2063.600000023842,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,
62,,,,,,html-keyboard-response,62,271338,0.0-11.0-5.12-1.12,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1167.699999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,eclair,eclair_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
66,,,,,,html-keyboard-response,66,273915,0.0-11.0-5.13-1.13,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1570.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,figurine,figurine_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,
70,,,,,,html-keyboard-response,70,276043,0.0-11.0-5.14-1.14,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1120.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,
74,,,,,,html-keyboard-response,74,279084,0.0-11.0-5.15-1.15,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,2032.5999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,figurine,figurine_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
82,,,,,,survey-text-autocomplete,82,286365,0.0-11.0-6.16-4.16,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""bowl""}",,,,,,,,,,,,,,,17,0,recognition,peanut_butter,peanut_butter_mooney,target,upside_down,pre,null,Exp,Recognition,,,,bowl,0.5575551239533691,0.0
89,,,,,,survey-text-autocomplete,89,293162,0.0-11.0-6.17-4.17,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""casket""}",,,,,,,,,,,,,,,18,0,recognition,axe,axe_mooney,catch,regular,pre,null,Exp,Recognition,,,,casket,0.7467634516486656,0.0
96,,,,,,survey-text-autocomplete,96,297598,0.0-11.0-6.18-4.18,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""bread-bin""}",,,,,,,,,,,,,,,19,0,recognition,eclair,eclair_mooney,target,regular,pre,null,Exp,Recognition,,,,bread-bin,0.4379945526786425,0.0
103,,,,,,survey-text-autocomplete,103,302801,0.0-11.0-6.19-4.19,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""pizza""}",,,,,,,,,,,,,,,20,0,recognition,figurine,figurine_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,pizza,0.6767480358481893,0.0
110,,,,,,survey-text-autocomplete,110,306923,0.0-11.0-6.20-4.20,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""peanut butter""}",,,,,,,,,,,,,,,21,0,recognition,peanut_butter,peanut_butter,target,upside_down,color,null,Exp,Recognition,,,,peanut_butter,0.0,1.0
