index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1661.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,3738eln2k4ekjg3,html-keyboard-response,14,237580,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
1,1090.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,sardine,sardine_mooney_dot_off2,target,horizontal_flip,pre,off,3738eln2k4ekjg3,html-keyboard-response,18,239684,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,654.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,aloe,aloe_mooney_dot_off2,target,upside_down,pre,off,3738eln2k4ekjg3,html-keyboard-response,22,241358,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,986.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,3738eln2k4ekjg3,html-keyboard-response,26,243358,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,598.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,3738eln2k4ekjg3,html-keyboard-response,30,244976,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
5,878.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,sardine,sardine_mooney_dot_off4,target,horizontal_flip,pre,off,3738eln2k4ekjg3,html-keyboard-response,34,246869,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
6,702.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,3738eln2k4ekjg3,html-keyboard-response,38,248581,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
7,770.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,aloe,aloe_mooney_dot_on1,target,upside_down,pre,on,3738eln2k4ekjg3,html-keyboard-response,42,250378,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,595.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,3738eln2k4ekjg3,html-keyboard-response,46,251999,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,829,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,sardine,sardine_mooney_dot_on3,target,horizontal_flip,pre,on,3738eln2k4ekjg3,html-keyboard-response,50,253841,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18248,6744cb4ff0eecbe4f371af5f,3,21,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
