trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject
1,0,dot,gutter,gutter_mooney_dot_off2,target,regular,pre,off,88
2,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,upside_down,pre,off,88
3,0,dot,aloe,aloe_mooney_dot_off4,target,horizontal_flip,pre,off,88
4,0,dot,gutter,gutter_mooney_dot_off4,target,regular,pre,off,88
5,0,dot,sardine,sardine_mooney_dot_off2,catch,regular,pre,off,88
6,0,dot,aloe,aloe_mooney_dot_on3,target,horizontal_flip,pre,on,88
7,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,upside_down,pre,on,88
8,0,dot,gutter,gutter_mooney_dot_on3,target,regular,pre,on,88
9,0,dot,sardine,sardine_mooney_dot_on1,catch,regular,pre,on,88
10,0,dot,aloe,aloe_mooney_dot_off2,target,horizontal_flip,pre,off,88
11,0,dot,sardine,sardine_mooney_dot_off4,catch,regular,pre,off,88
12,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,upside_down,pre,off,88
13,0,dot,aloe,aloe_mooney_dot_on1,target,horizontal_flip,pre,on,88
14,0,dot,sardine,sardine_mooney_dot_on3,catch,regular,pre,on,88
15,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,upside_down,pre,on,88
16,0,dot,gutter,gutter_mooney_dot_on1,target,regular,pre,on,88
17,0,recognition,sardine,sardine_mooney,catch,regular,pre,,88
18,0,recognition,egg_roll,egg_roll_mooney,target,upside_down,pre,,88
19,0,recognition,aloe,aloe_mooney,target,horizontal_flip,pre,,88
20,0,recognition,gutter,gutter_mooney,target,regular,pre,,88
21,0,recognition,egg_roll,egg_roll,target,upside_down,color,,88
22,0,recognition,gutter,gutter,target,regular,color,,88
23,0,recognition,aloe,aloe,target,horizontal_flip,color,,88
24,1,dot,gutter,gutter_mooney_dot_on7,target,regular,post,on,88
25,1,dot,egg_roll,egg_roll_mooney_dot_off8,target,upside_down,post,off,88
26,1,dot,sardine,sardine_mooney_dot_off6,catch,regular,post,off,88
27,1,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,upside_down,pre,on,88
28,1,dot,aloe,aloe_mooney_dot_on5,target,horizontal_flip,post,on,88
29,1,dot,banana_peel,banana_peel_mooney_dot_on3,catch,upside_down,pre,on,88
30,1,dot,sardine,sardine_mooney_dot_on7,catch,regular,post,on,88
31,1,dot,banana_peel,banana_peel_mooney_dot_off2,catch,upside_down,pre,off,88
32,1,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,88
33,1,dot,banana_peel,banana_peel_mooney_dot_on1,catch,upside_down,pre,on,88
34,1,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,upside_down,pre,on,88
35,1,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,88
36,1,dot,gutter,gutter_mooney_dot_off6,target,regular,post,off,88
37,1,dot,sidecar,sidecar_mooney_dot_on3,target,regular,pre,on,88
38,1,dot,banana_peel,banana_peel_mooney_dot_off4,catch,upside_down,pre,off,88
39,1,dot,gutter,gutter_mooney_dot_on5,target,regular,post,on,88
40,1,dot,egg_roll,egg_roll_mooney_dot_off6,target,upside_down,post,off,88
41,1,dot,sidecar,sidecar_mooney_dot_off2,target,regular,pre,off,88
42,1,dot,egg_roll,egg_roll_mooney_dot_on5,target,upside_down,post,on,88
43,1,dot,aloe,aloe_mooney_dot_off8,target,horizontal_flip,post,off,88
44,1,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,88
45,1,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,upside_down,pre,off,88
46,1,dot,sardine,sardine_mooney_dot_off8,catch,regular,post,off,88
47,1,dot,aloe,aloe_mooney_dot_on7,target,horizontal_flip,post,on,88
48,1,dot,sidecar,sidecar_mooney_dot_on1,target,regular,pre,on,88
49,1,dot,gutter,gutter_mooney_dot_off8,target,regular,post,off,88
50,1,dot,aloe,aloe_mooney_dot_off6,target,horizontal_flip,post,off,88
51,1,dot,sidecar,sidecar_mooney_dot_off4,target,regular,pre,off,88
52,1,dot,sardine,sardine_mooney_dot_on5,catch,regular,post,on,88
53,1,dot,axe,axe_mooney_dot_off2,target,horizontal_flip,pre,off,88
54,1,dot,egg_roll,egg_roll_mooney_dot_on7,target,upside_down,post,on,88
55,1,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,upside_down,pre,off,88
56,1,recognition,axe,axe_mooney,target,horizontal_flip,pre,,88
57,1,recognition,sidecar,sidecar_mooney,target,regular,pre,,88
58,1,recognition,egg_roll,egg_roll_mooney,target,upside_down,post,,88
59,1,recognition,aloe,aloe_mooney,target,horizontal_flip,post,,88
60,1,recognition,sardine,sardine_mooney,catch,regular,post,,88
61,1,recognition,banana_peel,banana_peel_mooney,catch,upside_down,pre,,88
62,1,recognition,gutter,gutter_mooney,target,regular,post,,88
63,1,recognition,lip_gloss,lip_gloss_mooney,target,upside_down,pre,,88
64,1,recognition,axe,axe,target,horizontal_flip,color,,88
65,1,recognition,lip_gloss,lip_gloss,target,upside_down,color,,88
66,1,recognition,sidecar,sidecar,target,regular,color,,88
67,2,dot,pomegranate,pomegranate_mooney_dot_off2,target,upside_down,pre,off,88
68,2,dot,lip_gloss,lip_gloss_mooney_dot_on7,target,upside_down,post,on,88
69,2,dot,shears,shears_mooney_dot_on1,catch,horizontal_flip,pre,on,88
70,2,dot,axe,axe_mooney_dot_on5,target,horizontal_flip,post,on,88
71,2,dot,lip_gloss,lip_gloss_mooney_dot_off6,target,upside_down,post,off,88
72,2,dot,shears,shears_mooney_dot_off4,catch,horizontal_flip,pre,off,88
73,2,dot,banana_peel,banana_peel_mooney_dot_on5,catch,upside_down,post,on,88
74,2,dot,shears,shears_mooney_dot_off2,catch,horizontal_flip,pre,off,88
75,2,dot,steak,steak_mooney_dot_on1,target,regular,pre,on,88
76,2,dot,axe,axe_mooney_dot_off6,target,horizontal_flip,post,off,88
77,2,dot,banana_peel,banana_peel_mooney_dot_on7,catch,upside_down,post,on,88
78,2,dot,mannequin,mannequin_mooney_dot_on1,target,horizontal_flip,pre,on,88
79,2,dot,lip_gloss,lip_gloss_mooney_dot_off8,target,upside_down,post,off,88
80,2,dot,mannequin,mannequin_mooney_dot_off2,target,horizontal_flip,pre,off,88
81,2,dot,sidecar,sidecar_mooney_dot_on5,target,regular,post,on,88
82,2,dot,steak,steak_mooney_dot_on3,target,regular,pre,on,88
83,2,dot,shears,shears_mooney_dot_on3,catch,horizontal_flip,pre,on,88
84,2,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,88
85,2,dot,mannequin,mannequin_mooney_dot_on3,target,horizontal_flip,pre,on,88
86,2,dot,banana_peel,banana_peel_mooney_dot_off8,catch,upside_down,post,off,88
87,2,dot,steak,steak_mooney_dot_off2,target,regular,pre,off,88
88,2,dot,axe,axe_mooney_dot_off8,target,horizontal_flip,post,off,88
89,2,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,88
90,2,dot,steak,steak_mooney_dot_off4,target,regular,pre,off,88
91,2,dot,lip_gloss,lip_gloss_mooney_dot_on5,target,upside_down,post,on,88
92,2,dot,mannequin,mannequin_mooney_dot_off4,target,horizontal_flip,pre,off,88
93,2,dot,sidecar,sidecar_mooney_dot_off8,target,regular,post,off,88
94,2,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,88
95,2,dot,sidecar,sidecar_mooney_dot_on7,target,regular,post,on,88
96,2,dot,banana_peel,banana_peel_mooney_dot_off6,catch,upside_down,post,off,88
97,2,dot,sidecar,sidecar_mooney_dot_off6,target,regular,post,off,88
98,2,dot,axe,axe_mooney_dot_on7,target,horizontal_flip,post,on,88
99,2,recognition,shears,shears_mooney,catch,horizontal_flip,pre,,88
100,2,recognition,sidecar,sidecar_mooney,target,regular,post,,88
101,2,recognition,banana_peel,banana_peel_mooney,catch,upside_down,post,,88
102,2,recognition,pomegranate,pomegranate_mooney,target,upside_down,pre,,88
103,2,recognition,steak,steak_mooney,target,regular,pre,,88
104,2,recognition,mannequin,mannequin_mooney,target,horizontal_flip,pre,,88
105,2,recognition,lip_gloss,lip_gloss_mooney,target,upside_down,post,,88
106,2,recognition,axe,axe_mooney,target,horizontal_flip,post,,88
107,2,recognition,steak,steak,target,regular,color,,88
108,2,recognition,pomegranate,pomegranate,target,upside_down,color,,88
109,2,recognition,mannequin,mannequin,target,horizontal_flip,color,,88
110,3,dot,pomegranate,pomegranate_mooney_dot_on7,target,upside_down,post,on,88
111,3,dot,mannequin,mannequin_mooney_dot_off6,target,horizontal_flip,post,off,88
112,3,dot,pomegranate,pomegranate_mooney_dot_on5,target,upside_down,post,on,88
113,3,dot,shears,shears_mooney_dot_on5,catch,horizontal_flip,post,on,88
114,3,dot,pomegranate,pomegranate_mooney_dot_off6,target,upside_down,post,off,88
115,3,dot,eclair,eclair_mooney_dot_off4,target,upside_down,pre,off,88
116,3,dot,gargoyle,gargoyle_mooney_dot_off2,target,horizontal_flip,pre,off,88
117,3,dot,snail,snail_mooney_dot_off4,target,regular,pre,off,88
118,3,dot,eclair,eclair_mooney_dot_off2,target,upside_down,pre,off,88
119,3,dot,mannequin,mannequin_mooney_dot_off8,target,horizontal_flip,post,off,88
120,3,dot,steak,steak_mooney_dot_on7,target,regular,post,on,88
121,3,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,88
122,3,dot,snail,snail_mooney_dot_on1,target,regular,pre,on,88
123,3,dot,eclair,eclair_mooney_dot_on3,target,upside_down,pre,on,88
124,3,dot,gargoyle,gargoyle_mooney_dot_off4,target,horizontal_flip,pre,off,88
125,3,dot,shears,shears_mooney_dot_off6,catch,horizontal_flip,post,off,88
126,3,dot,steak,steak_mooney_dot_on5,target,regular,post,on,88
127,3,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,88
128,3,dot,shears,shears_mooney_dot_off8,catch,horizontal_flip,post,off,88
129,3,dot,steak,steak_mooney_dot_off8,target,regular,post,off,88
130,3,dot,mannequin,mannequin_mooney_dot_on5,target,horizontal_flip,post,on,88
131,3,dot,snail,snail_mooney_dot_off2,target,regular,pre,off,88
132,3,dot,shears,shears_mooney_dot_on7,catch,horizontal_flip,post,on,88
133,3,dot,eclair,eclair_mooney_dot_on1,target,upside_down,pre,on,88
134,3,dot,mannequin,mannequin_mooney_dot_on7,target,horizontal_flip,post,on,88
135,3,dot,pomegranate,pomegranate_mooney_dot_off8,target,upside_down,post,off,88
136,3,dot,snail,snail_mooney_dot_on3,target,regular,pre,on,88
137,3,dot,steak,steak_mooney_dot_off6,target,regular,post,off,88
138,3,recognition,mannequin,mannequin_mooney,target,horizontal_flip,post,,88
139,3,recognition,shears,shears_mooney,catch,horizontal_flip,post,,88
140,3,recognition,eclair,eclair_mooney,target,upside_down,pre,,88
141,3,recognition,gargoyle,gargoyle_mooney,target,horizontal_flip,pre,,88
142,3,recognition,pomegranate,pomegranate_mooney,target,upside_down,post,,88
143,3,recognition,steak,steak_mooney,target,regular,post,,88
144,3,recognition,snail,snail_mooney,target,regular,pre,,88
145,3,recognition,eclair,eclair,target,upside_down,color,,88
146,3,recognition,gargoyle,gargoyle,target,horizontal_flip,color,,88
147,3,recognition,snail,snail,target,regular,color,,88
148,4,dot,gargoyle,gargoyle_mooney_dot_off8,target,horizontal_flip,post,off,88
149,4,dot,eclair,eclair_mooney_dot_off8,target,upside_down,post,off,88
150,4,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,88
151,4,dot,puffin,puffin_mooney_dot_on3,target,upside_down,pre,on,88
152,4,dot,eclair,eclair_mooney_dot_off6,target,upside_down,post,off,88
153,4,dot,snail,snail_mooney_dot_on7,target,regular,post,on,88
154,4,dot,eclair,eclair_mooney_dot_on7,target,upside_down,post,on,88
155,4,dot,polar_bear,polar_bear_mooney_dot_on3,target,regular,pre,on,88
156,4,dot,snail,snail_mooney_dot_off6,target,regular,post,off,88
157,4,dot,gargoyle,gargoyle_mooney_dot_on7,target,horizontal_flip,post,on,88
158,4,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,88
159,4,dot,puffin,puffin_mooney_dot_on1,target,upside_down,pre,on,88
160,4,dot,sandal,sandal_mooney_dot_on1,target,horizontal_flip,pre,on,88
161,4,dot,gargoyle,gargoyle_mooney_dot_on5,target,horizontal_flip,post,on,88
162,4,dot,snail,snail_mooney_dot_off8,target,regular,post,off,88
163,4,dot,polar_bear,polar_bear_mooney_dot_on1,target,regular,pre,on,88
164,4,dot,eclair,eclair_mooney_dot_on5,target,upside_down,post,on,88
