trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject
165,4,dot,puffin,puffin_mooney_dot_off4,target,upside_down,pre,off,88
166,4,dot,polar_bear,polar_bear_mooney_dot_off4,target,regular,pre,off,88
167,4,dot,puffin,puffin_mooney_dot_off2,target,upside_down,pre,off,88
168,4,dot,snail,snail_mooney_dot_on5,target,regular,post,on,88
169,4,dot,gargoyle,gargoyle_mooney_dot_off6,target,horizontal_flip,post,off,88
170,4,dot,polar_bear,polar_bear_mooney_dot_off2,target,regular,pre,off,88
171,4,dot,sandal,sandal_mooney_dot_off2,target,horizontal_flip,pre,off,88
172,4,recognition,snail,snail_mooney,target,regular,post,,88
173,4,recognition,sandal,sandal_mooney,target,horizontal_flip,pre,,88
174,4,recognition,eclair,eclair_mooney,target,upside_down,post,,88
175,4,recognition,polar_bear,polar_bear_mooney,target,regular,pre,,88
176,4,recognition,gargoyle,gargoyle_mooney,target,horizontal_flip,post,,88
177,4,recognition,puffin,puffin_mooney,target,upside_down,pre,,88
178,4,recognition,polar_bear,polar_bear,target,regular,color,,88
179,4,recognition,puffin,puffin,target,upside_down,color,,88
180,4,recognition,sandal,sandal,target,horizontal_flip,color,,88
181,5,dot,puffin,puffin_mooney_dot_on7,target,upside_down,post,on,88
182,5,dot,polar_bear,polar_bear_mooney_dot_on7,target,regular,post,on,88
183,5,dot,sandal,sandal_mooney_dot_off8,target,horizontal_flip,post,off,88
184,5,dot,puffin,puffin_mooney_dot_off6,target,upside_down,post,off,88
185,5,dot,polar_bear,polar_bear_mooney_dot_on5,target,regular,post,on,88
186,5,dot,sandal,sandal_mooney_dot_on5,target,horizontal_flip,post,on,88
187,5,dot,polar_bear,polar_bear_mooney_dot_off8,target,regular,post,off,88
188,5,dot,sandal,sandal_mooney_dot_off6,target,horizontal_flip,post,off,88
189,5,dot,puffin,puffin_mooney_dot_off8,target,upside_down,post,off,88
190,5,dot,sandal,sandal_mooney_dot_on7,target,horizontal_flip,post,on,88
191,5,dot,puffin,puffin_mooney_dot_on5,target,upside_down,post,on,88
192,5,dot,polar_bear,polar_bear_mooney_dot_off6,target,regular,post,off,88
193,5,recognition,sandal,sandal_mooney,target,horizontal_flip,post,,88
194,5,recognition,polar_bear,polar_bear_mooney,target,regular,post,,88
195,5,recognition,puffin,puffin_mooney,target,upside_down,post,,88
